x,y
-0.10542375530146085,0.09587302452616363
-0.0740606747383988,0.04078206903363771
-0.000786660899557529,0.018773890350260836
0.04596094295502045,0.07790055335029789
0.04596094295502045,0.07790055335029789
0.06227046452658212,0.11038949144007833
0.036483411950710705,-0.04779163218784127
0.014147192075781218,-0.023276774905728975
0.014147192075781218,-0.023276774905728975
-0.1237810191908236,0.001239901130356224
0.07917047858020554,-0.10947558174268104
0.08501599128167564,0.013947577950573189
0.08501599128167564,0.013947577950573189
0.03248624636398022,-0.21038529409739387
-0.20677881165993192,0.015399363223095285
-0.10545823342612495,0.10710045268716786
